,_STATE,NUMADULT,LNDSXBRT,CELSXBRT,HHADULT,PHYSHLTH,MENTHLTH,POORHLTH,PRIMINS1,EXRACT12,EXEROFT1,EXERHMM1,EXRACT22,EXEROFT2,EXERHMM2,STRENGTH,DIABAGE4,NUMHHOL4,CPDEMO1C,CHILDREN,WEIGHT2,HEIGHT3,FALL12MN,FALLINJ5,ALCDAY4,AVEDRNK3,DRNK3GE5,MAXDRNKS,FLSHTMY3,HIVTSTD3,DRNKDRI2,CHKHEMO3,ARTHDIS2,JOINPAI2,LCSFIRST,LCSLAST,LCSNUMCG,LCSCTWHN,HOWLONG,PSATIME1,PSASUGS1,COLNSIGM,COLNTES1,SIGMTES1,LASTSIG4,VCLNTES2,STOLTEST,STOOLDN2,CNCRDIFF,CNCRAGE,CNCRTYP2,CSRVDOC1,CSRVCTL2,CDWORRY,CDHOUS1,CDSOCIA1,CRGVREL4,CRGVPRB3,CRGVEXPT,LASTSMK2,FIRSTAID,ASPIRIN,BIRTHSEX,TRNSGNDR,MARIJAN1,ACEADSAF,ACEADNED,IMFVPLA4,HPVADSHT,COVIDNU2,SDHBILLS,RRCLASS3,RRCOGNT2,RRTREAT,RRATWRK2,RRHCARE4,RRPHYSM2,RCSGEND1,RCSXBRTH,RCSRLTN2,QSTVER,_STSTR,_STRWT,_RAWRAKE,_WT2RAKE,_CRACE1,CAGEG,_CLLCPWT,_DUALCOR,_LLCPWT2,_LLCPWT,METVL12_,METVL22_,MAXVO21_,FC601_,PADUR1_,PADUR2_,PAFREQ1_,PAFREQ2_,_MINAC12,_MINAC22,STRFREQ_,PAMISS3_,PAMIN13_,PAMIN23_,PA3MIN_,PAVIG13_,PAVIG23_,PA3VIGM_,_MRACE1,_AGE80,HTIN4,HTM4,WTKG3,_BMI5,DROCDY4_,_DRNKWK2,MORTRT1
_STATE,1.0,0.002900012049757816,-0.002079683363581044,-0.0024046935577342835,-0.009821409938512495,0.0034850598059523365,-0.000841244063597024,-0.0022636729072957372,-0.011862672311034885,-0.006538404044124557,-0.010066591069654915,-0.003301215519038148,0.0014138183832547075,-0.009170694676134747,-0.0030816623534728003,0.022691686491682166,0.00732816724524398,0.0016232588555285133,0.0025920736061935176,-0.004957577141340627,-0.0009285791276675341,-0.013993515724901902,0.0007914841877072497,-0.001112928282686928,0.02094376759060792,-0.0008784245899479613,-0.004063385220625692,-0.005796494038900245,0.004646910897764262,0.020844722495861716,0.0024710556611248517,0.005187086909157964,0.12786902335753392,0.04449154694886174,-0.10560143799412235,-0.09012732825361543,-0.07712583157937893,-0.04193697671442573,0.10379971932702153,0.005891646135268587,0.007160820123926041,0.06970982674552001,0.07975062701971547,0.02456509207626938,0.014402708935282497,0.020244480219589626,0.039141117899044474,0.04784918886382103,0.014241590332084917,0.022369649812536366,0.0169405303622113,0.026815827283401622,-0.008595097274577036,0.023875480229953495,0.02549184756206782,0.025407481992405462,-0.040315755214764645,-0.038864777999668136,-0.10861521521168414,-0.011384359926713945,0.08432065745959749,-0.05760249595166544,-0.0480302343158321,-0.0011520936430377523,0.0037624700329014545,-0.018606247628077274,-0.01822580546942318,0.011400584934403138,-0.0139614191880986,0.0821180960247539,-0.23745036440289957,-0.01870045519664258,-0.03534311220965335,-0.03279814606468356,-0.029960983027185077,-0.029961937990541018,-0.04222008532378624,-0.008616439730658875,-0.0034528893132912803,-0.013309380554992246,-0.0261814864911104,0.9999971360130322,-0.012090092655398923,0.005615928061178975,-0.01290414751292844,-0.006755909092679046,-0.001466507061354444,-0.03577141306124522,0.026033789123184166,-0.11268308634573364,-0.083526195549407,-0.010778396243192672,-0.012226222084481521,0.002525306044737571,0.0025280202809153966,-0.004502711377700487,-0.005565891015916255,-0.01595291510480736,-0.011886535010090333,-0.005981668611039656,-0.005355676055916153,-0.01721366568129953,0.0023962210811053915,-0.005287856469214088,-0.003935355964139498,-0.006122266662747115,-0.0029219370583865247,-0.0011272230888160757,-0.0028194834647521584,-0.015950345809906594,0.0009183184581822135,0.01306484136446063,0.00515834767859459,0.009034395519470637,0.01376802277841954,-0.016970610940863193,-0.015045759622671498,-0.0007729816446053059
NUMADULT,0.002900012049757816,1.0,0.03962559495547554,-0.03272370275386502,-0.5756680122006069,0.028911477988178568,-0.06752513276355535,-0.00035987152468723083,0.05247398677087454,-0.027905111433112667,-0.020454303292032707,-0.020177720078507558,-0.015993303650873175,-0.01899390651268048,-0.006619102523573343,0.033014638953924355,0.09511867007507328,0.8628324719103496,0.21984413983553863,-0.12443426838875214,0.017026685622335794,-0.027827181036058767,0.030362960933265744,0.014719842001619854,0.07827190939064,-0.0907439898197193,-0.050928214079899795,-0.10014412496328864,0.05646309026709827,-0.052817462603182624,-0.013000651110739964,0.02146360453566382,0.061358694242206684,0.023874496088975367,0.02122750623862766,0.02514307342585244,0.022557294659148304,0.017810655538169153,6.496134246681083e-05,0.04637723698401639,0.051369080161669654,0.007496290919373343,0.00831767392965733,0.0038331535269607387,0.002133901730388099,0.0006955136268232226,0.0039046875338471006,0.0017853417740172981,0.06020421525847305,0.08226055733505147,0.06338115141069736,0.007356359349265137,0.0027879093639030027,0.03912235571010397,0.04133419586887288,0.03897040457253905,0.0012971649502988977,0.0022463281598006043,-0.018140048697374397,0.02478878480625386,0.021210953558150628,0.04896970702697966,0.006771348590819881,0.029026919788308795,-0.025363147625388133,0.03247700273163348,0.0303380416657477,0.003595786656072722,-0.023023183449429763,0.08810193070730302,0.06077397845947596,0.01497383808426517,0.022506979288869126,0.07287435475598558,-0.05485975305554313,0.07378854950248713,0.07115436323246561,-0.057375762670200635,-0.013193116404962592,-0.04934622621532493,-0.8606125116887241,0.0008138966961244791,-0.1729970671869009,0.8958166152983001,-0.046805332939062846,-0.02700460365719743,-0.06675652216523749,-0.012496045256208075,0.3074492919917794,-0.050911526086133016,-0.04940430305208333,-0.04038689591911154,-0.03091243287465787,-0.3101501497127911,-0.31015702978863574,-0.0385283126432658,-0.02322037895564133,-0.016468431119268327,-0.004466853390156512,-0.007770172388861008,-0.00022768986641633838,-0.005170678629582675,0.005967243715785998,0.018094161599281892,0.017356921767103444,0.023280717486652606,0.05788514017068574,0.046771639686978506,0.06991015869713443,-0.02460618654209065,0.29335989743886093,0.010786078322939319,-0.016054480675500204,-0.050528374875534,-0.017503520360143993,-0.011446811793829071,-0.013205647556210835,0.14446441881984773
LNDSXBRT,-0.002079683363581044,0.03962559495547554,1.0,-0.0013747671750195046,-0.02418459466017062,0.006716225593062533,0.003942442474117166,0.00929962364554163,-0.0005059102304120139,0.0005324112916127112,-0.0016966202680525203,0.0025803398533667064,-0.0016725475145784197,-0.000478189630065813,-0.003112054224729976,0.0019294482012255285,0.003802092574121604,0.0345602769487486,0.016807111287748713,-0.005252837058942828,0.008641491060957364,0.0056262465151253865,0.0029484243566615534,0.0021417861843218656,0.004596561053120519,-0.003998494333459212,-0.0002863737027472538,-0.0038469917215674504,0.0003674991997565326,-0.003179420485341213,-0.0001225487005861452,-0.00018642230158648416,0.0025068444933963744,0.002112305340802616,0.0029141330773534103,0.0021590231090971397,0.0017853094668885006,-0.0010085975343305748,-0.0006823108639364882,0.00126406681493355,0.0010264792922352265,-0.001992204201841666,-0.0022282502835406443,-0.000907998012929259,-0.00029663077215745027,-0.0004604470728606234,-0.0011069233524128826,-0.0013048459877149682,0.001602305437951709,0.0022894123201528636,0.002751701647580222,-0.001010543746361948,-0.00036424678639340773,-0.001101136757666497,-0.0015114620593493495,-0.0013578427886508182,-0.0004034583108928047,0.0010515780141069635,-1.9445430498631986e-05,6.637745850511749e-05,-0.0009403378405457114,0.004982952828796836,0.002044779840717004,0.0018564279868120508,0.0005846648291177032,-0.0023676582407315444,-0.0021232718244316344,-0.0010135282084507962,0.0008218320962330373,0.00019039954384596366,0.0043303208482906,0.003852031359775197,0.0027014292036455817,0.007416646579503592,-0.0008259909005867271,0.003721216404690151,0.005866875960859015,-0.00132888529873776,0.000578516521929332,-0.0007991779484262864,-0.03603587421469387,-0.0021685046217507923,-0.008613724033826441,0.03482918160815875,-0.00431909481234781,0.0005851274401487729,-0.0012321921216254346,8.378306116069171e-05,0.010351179346837347,-0.002593844626601786,-0.00028150404924519746,-0.003757007102829903,-0.0030199267354537006,-0.012089082569688527,-0.01208658872034032,0.0007686037707227643,-0.0042943321272866835,-0.0003916069284642712,9.510975981436491e-05,0.003096359813193879,-0.001901615113671833,-0.0006340214549094751,0.00497902064203048,0.0046698486188790815,-0.0020995866921923443,0.0020662217108389502,0.0060902683528343046,-0.001409235446041525,0.003715256530515749,0.01080789774328527,0.008837568572576861,-0.005816929291594096,-0.0076865740336135155,-0.008375716121250907,-0.007621328146533576,0.000403536458926219,0.00046541982684657673,0.0034419426803071152
CELSXBRT,-0.0024046935577342835,-0.03272370275386502,-0.0013747671750195046,1.0,0.03921159716031291,0.01631972777764133,0.06542879729780357,0.038606497335251885,-0.002916754453254765,0.00538220277960601,0.004698220292263235,0.0029915735945743676,0.00268334899167023,0.005446986486448079,-0.0015394480348960282,-0.001956685362856633,-0.0165065468944578,-0.036476307774720114,2.369383553608523e-05,0.004474324679987581,0.009574370761176895,0.004616579416485764,-0.00023587828720923845,0.0026509717398884467,-0.005919839001152147,0.014200959473910047,0.014523129657574173,0.01681802757382003,-0.0047274611196349075,0.0011456827976792777,0.029989052770691173,-0.004046207887653701,-0.00866292492208493,-0.003756124306750354,-0.004000049607097187,-0.0037128019342118805,-0.0014952707027767634,-0.002008310508292198,0.000262896371062089,-0.00865301414579188,-0.01046783605518391,-0.004557329229299834,-0.003870304535676158,-0.0025771233791690384,-0.0011618384448222959,-0.0012495007573305867,-0.001902011382280351,-0.002259555752805719,-0.008048545577966797,-0.011300130003059,-0.009511929862168663,-0.002240571188122904,-0.001426675717953602,-0.007587098447950842,-0.008510100812206043,-0.007811305592731547,0.00469823856798398,0.0007501374734890741,0.0004241256639542607,-0.003696917548931634,-0.004518545738678723,-0.0002891648267852987,0.016343393421781188,-0.017440647911580367,0.017992810723335834,-0.005629760858503933,-0.0038462325801814556,-0.0011546747321012642,0.006314556055887487,-0.010711470735881256,-0.015605839981571806,0.005115453981027579,0.006977168947154714,-0.006707692129923746,0.0031297630043279263,-0.006459084300706183,-0.008792770229389379,0.002604334359036003,0.005062909604527466,0.004874078987035992,0.03599489600992065,-0.002317065700242626,0.005747741127046804,-0.023386692924155926,0.002412836114234472,0.0017062786765506693,-0.004596146161364067,-0.001707527099080204,-0.028097915228705198,0.0038452912602557647,0.018004984185757755,0.0034292568171020088,0.0010702917635872864,0.04915297658120666,0.04915741149126596,0.0038789028389574353,-0.0028762624429209097,0.0044770972875786555,0.0014575736897779424,0.00447833328411294,4.988299238976849e-05,0.0020344729349703107,0.008360622240141752,-0.0025244610590588194,-0.003411852280586285,-0.0038414316990255473,-0.009515778020084863,-0.007713103506385577,-0.011506542181060848,0.018556960519939457,-0.0664732150375575,-0.007771515030555932,-0.010467239410054764,-0.005147210802452248,-0.005130590246641125,0.007258232778339141,0.00895614129556014,-0.02818798944775462
HHADULT,-0.009821409938512495,-0.5756680122006069,-0.02418459466017062,0.03921159716031291,1.0,-0.03980957033378302,0.05549670680640488,-0.011522815564930235,-0.07909605151131066,0.02291714029394865,0.009278725040542316,0.014011477262595834,0.012704426739980804,0.01457891892919228,0.0040779169595617035,-0.03234244793535382,-0.09221095136756745,-0.6416829949541805,-0.17911733050886686,0.2028829322459065,-0.0021382174093045824,0.06298979497416142,-0.0425412164904397,-0.02110076174993867,-0.054221097345194695,0.07825241166130445,0.0380057922570681,0.08500095583895899,-0.063027296400951,0.03075201188142515,0.014909217184645945,-0.017734405630201396,-0.06740320912403858,-0.032952999565464575,-0.012099953243091308,-0.019064876347663608,-0.015226549216291341,-0.011632518084187271,-0.004733339119142811,-0.041117187843335914,-0.044520446993227436,-0.007089970363357412,-0.009894387309668108,-0.005785260043723914,-0.002633173508273598,-0.007128649113359403,-0.00914664392680096,-0.00676890224368317,-0.06043589847375718,-0.08449180396017464,-0.06348308031183227,-0.010166612258933014,-0.004635443695148988,-0.046731672509679974,-0.049302426493890945,-0.047211856803041116,0.005669478372701375,0.007748525206544051,0.007925901121332294,-0.03757315862631056,-0.01781551753385841,-0.03801618140710789,-0.0009038847198199394,-0.0037374607810858173,0.016469002486239483,-0.020051591982280164,-0.01880783113796216,0.00028126849500089725,0.02698549378803048,-0.07460412357792713,-0.044267512889413,-0.016895853486620326,-0.02427277438098166,-0.07922944523032284,0.054347954375646275,-0.08262773735941732,-0.0760292533373591,0.10065677407537625,0.02701938283023652,0.13182514197574693,0.6410367395495045,-0.008277782254249768,0.13519823335707606,-0.41141343719132456,0.07462745899054801,0.05190176287028741,0.11641797903103202,0.05412442008016371,-0.2007668452566664,0.08413273003506784,0.11605305285295285,0.03824737348183508,0.03030081355119683,0.35911622871592397,0.3591218185122938,0.04105958439496803,0.02618861215335594,0.0061596310454494554,0.0045818523357298805,0.006632954779050503,0.004918598004235453,0.0013344869566783103,-0.0158439826662477,-0.02333412669741549,-0.017057511170441436,-0.02683144002229889,-0.06968845832141615,-0.05581358406442606,-0.08388070863000721,0.039901856451770856,-0.3357207081355451,-0.041605698774170245,0.004655032660303548,0.04845908948932526,0.016088679025625625,0.009699927013507765,0.014932328949379315,-0.164931679461592
PHYSHLTH,0.0034850598059523365,0.028911477988178568,0.006716225593062533,0.01631972777764133,-0.03980957033378302,1.0,0.3178873863712423,0.5885967385359689,0.10577251647060143,-0.06704989493502997,-0.10742151467315383,-0.08388826052426124,-0.034567139562377995,-0.11630330090727287,-0.0819610110500186,0.0701499356388727,0.13036647551888994,0.03752605741440567,0.03589372820298549,-0.0484170991976133,-0.005661496924770648,-0.012621349330212766,0.17116334755961043,0.1506907690893873,0.11553592654862892,-0.05576522841784969,0.00023330033564470762,-0.06307655401672135,0.028714119102452886,0.051564945858850034,0.0021332787326306117,0.04277244035475285,0.05199035385752019,0.053281715770530154,0.01769203588520248,0.01971479421435906,0.0217259625687303,0.010542297015709428,-0.00185176239316885,0.0055575805291904045,0.0018865413801245688,0.007036575897662961,0.0027915058499579006,0.005097368431990403,0.002075661506478333,0.004321075870669049,0.003102151914808229,0.004685525128559398,0.03514684624346265,0.035707075559976174,0.031024205998990424,0.0064289652119032615,0.022965356020134286,0.10776010650654008,0.10430107403632044,0.11048475334389535,0.00968785908957934,0.0107707315483685,0.004755711591449669,0.024813162828427215,0.004434380116545706,-0.0028118395352366606,0.01963870928268206,0.0001981284645142255,0.030193031453479232,0.005216700975103587,0.00965356391682487,-0.002448801337998365,-0.006903356583584003,-0.0008159275371146337,-0.009959654031790713,0.0038245303963884703,-0.007668603131109545,0.007414288574547392,-0.06571843815959778,0.006156894574573658,0.005740394930469612,-0.023754382398120243,-0.007327849569371879,-0.014518439073799827,-0.0386361828699614,0.0033972240120204128,-0.010323201413213965,0.015132753182435694,-0.007708928789581662,-0.010232211216112596,-0.02801877344704362,-0.014932635721666447,0.0014470168843539798,-0.006403747459958902,-0.014764710419065116,-0.18556743430723482,-0.15289524823064993,-0.08551273260906433,-0.08550804870083724,-0.11080959012229526,-0.09810539413110138,-0.09920766170850924,-0.07314572525146523,-0.0487932883088016,-0.03433371041126357,-0.02167757965579452,-0.011147380915793351,-0.04701919529082013,-0.03561014281965614,-0.05480857109862465,-0.03075354197211831,-0.026052327662233105,-0.03783417924972245,0.002803658856566812,0.08500431609742166,0.0045794141088801275,-0.0015658118066594112,0.05234308855126565,0.06987078342821483,-0.017978217915033644,-0.009923872682963934,0.18754041342692915
MENTHLTH,-0.000841244063597024,-0.06752513276355535,0.003942442474117166,0.06542879729780357,0.05549670680640488,0.3178873863712423,1.0,0.45363647775248533,0.05389293305263377,-0.03160568374834043,-0.04182813587396933,-0.034575036434960474,-0.01255432947945981,-0.04761428545383449,-0.03603752921158925,0.05391259106825382,0.006162739890160841,-0.07538890643750183,-0.012362429246235854,0.041516847165825245,-0.018040103704316066,-0.030029356921213078,0.09608625498354391,0.09303377149116833,0.022616895260694415,0.04016505373843702,0.06795329731363141,0.04519989260330616,-0.015472106201633794,0.06209989293024183,0.027022471779011077,0.009249473797690082,0.0014697965409144326,0.019189282779327094,0.01104025528711602,0.004034814245204946,0.008904261597730929,0.00032211713214070893,-0.003940234969104621,-0.03246439582618324,-0.04194532821535142,-0.012020647967154845,-0.016026878783466644,-0.005519850763135572,-0.002847140247962842,-0.0040830995757685515,-0.00801363599437263,-0.0080471654116377,-0.01097362067583161,-0.02304949853152391,-0.015075062306082531,-0.004824971788859964,0.011907052976216354,0.07812920653327302,0.07675232105731454,0.08294390936280858,0.018847828185961448,0.017859768857377792,-0.007203518773900773,-0.002518316685599621,0.0019639130203737737,0.0019441039294824545,0.021488555782412808,-0.012750627812849961,0.07140885692124899,-0.009527152792623445,-0.0020225147558031627,-0.0046236388247669034,0.02120000065815762,-0.03553673382292276,-0.035539985811512825,-0.004719015781965712,0.018294678964758403,-0.010052500386453988,-0.0002080337338462521,-0.010120795335025058,-0.00974629693938716,0.02207111172126971,0.002184207017700598,0.02779494213574811,0.07572026552375802,-0.0006569050822943936,0.020301462967668306,-0.047745310734395856,0.013394241447322276,0.0032451118513010385,0.03176710465236778,0.012557907868524733,-0.08712405699405054,0.003907375506727314,0.030878531775963208,-0.09297126921986912,-0.07435200025553555,0.15738280493578768,0.1573838462041168,-0.03838146307385489,-0.03758913352939629,-0.0464644047834647,-0.030712194351419274,-0.015192626925127227,-0.00593465736668187,-0.0289746309184852,-0.01106330289367299,-0.03164947540890327,-0.020143365324696128,-0.034599843536757977,-0.05127013425936816,-0.0423588455592249,-0.06245700823186184,-0.0026142952183552427,-0.16056803641813422,0.014811652620637097,0.0074050753243623795,0.03902865220922879,0.05676906095046876,-0.011364739763050066,-0.0049629206407991976,0.02526229282795095
POORHLTH,-0.0022636729072957372,-0.00035987152468723083,0.00929962364554163,0.038606497335251885,-0.011522815564930235,0.5885967385359689,0.45363647775248533,1.0,0.100379373037124,-0.05954512613697121,-0.09636596343596673,-0.08601027608893286,-0.03776462805896861,-0.10173966442220542,-0.0788095681995348,0.06239672525549397,0.08425245940473898,0.0011717472029419888,0.01894456357861278,-0.028093645763851666,-0.010083288936483897,-0.019169958360754,0.16309253614845032,0.15070530170699495,0.08743520693570302,-0.02904579416424348,0.01836115795985433,-0.033708726203722505,0.014282820137360607,0.05623721741919975,0.00832742301536045,0.028006724900075154,0.03280682515346567,0.0409285261460956,0.014702770726766162,0.014313083763191806,0.0169304236626083,0.008446478005343514,-0.004568100789637942,-0.00621445052475589,-0.011309171215539166,0.0006309542928489898,-0.0038579327815900415,0.0037817194990618216,-0.0008351051361534771,0.00032556335292061614,0.0007611105914133407,0.0014698450340983474,0.01773924017957933,0.01435324431712654,0.014465659299286301,0.005293151905425022,0.014962985586587058,0.10238206647598416,0.09657693164169383,0.10372947343364425,0.012106836100551932,0.012282203459837233,0.0033339558346933014,0.013217412300570353,0.0031317839563083155,0.00010962547033055258,0.02054619392815699,-0.0009104946536297851,0.042731305604475245,-0.0008424087597387357,0.005076222668848026,-0.0029263829273613222,0.0028095851350390263,-0.015955038713568657,-0.022343410232307074,0.002761549576188696,0.004483949500399865,0.003096946486590656,-0.056883513357115605,0.0006744719802244263,0.001264452150642163,-0.015740304952713807,-0.007090009805163266,-0.006020056584353129,-0.002341850674108913,-0.002263684391965974,0.0002021515077402341,-0.0026753499270315887,-0.0008369211657692166,-0.0077647510832672935,-0.01408862652395604,-0.005390602260956301,-0.025705514848641777,0.0004565803467445975,0.0036764303952768027,-0.1688982333913599,-0.13561708712181272,-0.006308555807981987,-0.006301095130036275,-0.1050013490333368,-0.0895043728057803,-0.09490624734710257,-0.06826303188668395,-0.05123205261391594,-0.033842306408390685,-0.025745113442225354,-0.01687948815277366,-0.05454480677997364,-0.03880004435495637,-0.06207713600921517,-0.04424004468715705,-0.03530878920140835,-0.053178851083683865,0.002464784611698269,0.0034714799155508317,0.011047204998445458,0.003670549837477084,0.045446208479497756,0.06016696429057034,-0.01662049276081459,-0.008943006708338896,0.12647332939261127
PRIMINS1,-0.011862672311034885,0.05247398677087454,-0.0005059102304120139,-0.002916754453254765,-0.07909605151131066,0.10577251647060143,0.05389293305263377,0.100379373037124,1.0,-0.03643626256862891,-0.02413929719972546,-0.010063482029615298,-0.0036222007812511483,-0.031753737730507894,-0.009385042610164141,0.020647688895533863,0.07804384982857057,0.06877706709550867,0.013647997297177203,-0.039411900210647915,-0.039482031003835134,-0.04921652126828754,0.054629068339260164,0.04216911806853456,0.07805351309154357,-0.05359905440262733,-0.02123300518974727,-0.0683605284978173,0.030230863468619553,0.030443284428262832,-0.00816974182189432,0.02107873893069622,0.03407553531004026,0.023432602611538744,0.014869155410218944,0.01508392495876394,0.014147645744685884,0.01095824501963782,0.0005396971057126964,0.01664132135774064,0.018760389445737307,0.005110423946117497,0.0026683903736145036,0.004029956445415632,0.004167707352648541,0.0006900015611251501,0.0021158878618435578,0.0027967606263493384,0.019100648504196845,0.026357513615777744,0.02055315465515543,0.0035007750944508194,0.0044311139724065845,0.04696936144076682,0.04508569164937257,0.0462375887388343,0.011431990535733967,0.005053441449458914,0.00516092008664884,0.022790648083535255,0.002207205787770278,0.010528312181804285,-0.0008343900433658065,-0.017521261886375594,0.018592716485009046,-0.0016058303174845917,-0.000399350632460614,-0.007647325791767638,-0.013650389394101686,0.008403568553503092,0.005015737062081986,0.002207312984730324,-0.008894606214193936,0.017722141141567203,-0.07202917247778184,0.012427650097822696,0.016381689512359354,-0.033748111753959205,-0.013062757108038722,-0.02379744287156901,-0.07075662007765665,-0.012021871533661039,-0.030457949092681093,0.02945285330097464,-0.02578722899847538,-0.015089660373166882,-0.03726837315478616,-0.01054636251074649,0.04199997624544082,-0.010735202105686358,-0.022319571796571087,-0.056292809113186314,-0.04830612557929868,-0.12724263813954506,-0.12723613911766274,-0.022726516950550942,-0.02081483227884713,-0.007606319271676866,-0.0069292765804825395,0.006891484283305157,0.004085551382124125,0.008259963785169066,0.0005024581132164885,0.019917303052733867,0.015345632958500562,0.0233733864347156,0.03346947558541782,0.02978558475198389,0.041999185758293894,-0.018124447277428752,0.12279024947529613,0.03496792188124587,0.01828534154881063,0.023865493506592932,0.03783459878459516,-0.015352415841931779,-0.012971335487646602,0.1248770439596178
EXRACT12,-0.006538404044124557,-0.027905111433112667,0.0005324112916127112,0.00538220277960601,0.02291714029394865,-0.06704989493502997,-0.03160568374834043,-0.05954512613697121,-0.03643626256862891,1.0,0.061558858671072365,0.12225488585436176,-0.03284319459138248,0.10023702470295077,0.06187601199741146,-0.1417476758401768,-0.05566097343951172,-0.033519096036294466,0.0010720599032426228,0.012379573628330436,-0.0018299122178538798,0.004430934336996211,-0.02133027072600699,-0.019533343305710393,-0.06044212665108611,0.04527320571479884,0.01758712827153764,0.05582564088183019,-0.007923188480047047,-0.0036048516563616526,0.007603313809486297,-0.011928169285584116,-0.006788538084656723,-0.009779185792372505,-0.00510575132896428,-0.006989684158504681,-0.005273460162876712,-0.0029304309199072874,-0.0013353504646076387,0.003313350717892167,0.004827535040880861,0.0009503170980965892,0.0002206680260273057,0.0011272170733679888,0.0005674032465308456,0.001557770052023313,0.0021712241205886795,0.002143268937011831,-0.004216292551458839,-0.009344264945042409,-0.007466444875372466,-0.00019319497620805563,-7.341445807642476e-05,-0.01821412173551266,-0.017853958791231538,-0.01950868536743088,0.0005461699544524204,0.002205168172244161,0.0022191519743477678,-0.0038539248339031127,-0.0041935338533362594,-0.0028001355797134943,-0.01123805509060322,0.0033068168553231168,0.006465938385090759,-0.0070803609934482915,-0.00686184110397826,0.0008699305705163121,0.004399787764041048,-0.01485651894795498,-0.007556643628871965,0.009423241639023082,0.0017944957664507238,-0.008203143147185704,0.01243558328260158,-0.006051477308553049,-0.009937563765820204,0.006165610876678059,0.005850673491264121,0.006393250535112841,0.031543763072272135,-0.006462153505997102,0.0043285692187132905,-0.019832094478487217,0.0021707294962464755,0.0032341050767246,0.0001910196069799342,-0.0017243782666557673,-0.01904538234960639,0.003772734700556059,0.007628857514006962,0.07131044276198772,0.12949500058748534,0.06209714938202509,0.062089935655995264,0.15393381694841982,0.07180957826813439,0.019177085770493183,0.0780628394349587,0.02828230672074417,0.038854043684776324,0.09105026786443866,0.0555967440069271,0.03878723697717898,0.03275581421189311,0.047238258988243104,0.04469497669486633,0.009480985918765887,0.03866459991972075,0.01598213208349209,-0.059896730994245306,0.011594265618257467,0.011863570845878654,-0.012065434178047053,-0.03231144760079047,0.019722651220458985,0.017877129415591202,-0.07218809086915087
